Datetime,kobuki_bat,powerbank_bat,position_x,position_y,cpu_usage,ram_usage,completed_service_name,completed_service_duration
15/11/2023 19:52:24.295913,,,0.023456395,-0.870913911,,,,
15/11/2023 19:52:24.298496,,,0.023181307,-0.873947435,,,,
15/11/2023 19:52:24.301108,,,0.022749678,-0.878592471,,,,
15/11/2023 19:52:24.303710,,,0.022518437,-0.881028485,,,,
15/11/2023 19:52:24.306303,,,0.022064045,-0.885745142,,,,
15/11/2023 19:52:24.308932,,,0.021588034,-0.890371796,,,,
15/11/2023 19:52:24.384706,76.9697,30.62,,,99.5,8.18737152,,
15/11/2023 19:52:24.475267,,,,,,,,
15/11/2023 19:52:24.475687,,,,,,,,
15/11/2023 19:52:25.657818,,,0.014469896,-0.999185368,,,,
15/11/2023 19:52:25.660685,,,0.014424449,-1.001192424,,,,
15/11/2023 19:52:25.667349,,,0.014353797,-1.003994373,,,,
15/11/2023 19:52:25.722972,,,0.014305288,-1.005655596,,,,
15/11/2023 19:52:25.725945,,,0.014246058,-1.007460517,,,,
15/11/2023 19:52:25.734949,,,0.014179879,-1.009310025,,,,
15/11/2023 19:52:25.810220,,,0.014115007,-1.010939133,,,,
15/11/2023 19:52:25.811779,,,,,,,,
15/11/2023 19:52:25.812105,,,,,,,,
15/11/2023 19:52:25.813877,,,0.014046348,-1.012530705,,,,
15/11/2023 19:52:25.816390,,,0.01393292,-1.015014887,,,,
15/11/2023 19:52:25.818944,,,0.013845604,-1.016696401,,,,
15/11/2023 19:52:26.992577,,,0.014086498,-1.061637411,,,,
15/11/2023 19:52:26.992956,,,,,,,,
15/11/2023 19:52:26.993210,,,,,,,,
15/11/2023 19:52:27.123158,,,0.014043291,-1.064031812,,,,
15/11/2023 19:52:27.126059,,,0.018322094,-1.065017142,,,,
15/11/2023 19:52:27.128693,,,0.018283637,-1.065808322,,,,
15/11/2023 19:52:27.182635,,,0.018245961,-1.066502607,,,,
15/11/2023 19:52:27.185348,,,0.018199255,-1.06727979,,,,
15/11/2023 19:52:27.188008,,,0.018176282,-1.067636537,,,,
15/11/2023 19:52:27.242460,,,0.018111696,-1.068554887,,,,
15/11/2023 19:52:27.245250,,,0.018046454,-1.069395235,,,,
15/11/2023 19:52:27.325315,,,,,,,,
15/11/2023 19:52:27.325619,,,,,,,,
15/11/2023 19:52:27.604613,,,0.014058184,-1.063222069,,,,
15/11/2023 19:52:28.515279,,,0.015090222,-1.084028358,,,,
15/11/2023 19:52:28.560411,,,0.015090389,-1.084023876,,,,
15/11/2023 19:52:28.563213,,,0.015076163,-1.084261963,,,,
15/11/2023 19:52:28.565799,,,0.015062531,-1.084482595,,,,
15/11/2023 19:52:28.568377,,,0.015042577,-1.084797806,,,,
15/11/2023 19:52:28.570873,,,0.015030629,-1.084982334,,,,
15/11/2023 19:52:28.590673,,,0.015004809,-1.085365059,,,,
15/11/2023 19:52:28.633004,,,0.014975291,-1.085790349,,,,
15/11/2023 19:52:28.635789,,,0.014938459,-1.086307971,,,,
15/11/2023 19:52:28.638329,,,0.014893048,-1.08690534,,,,
15/11/2023 19:52:28.701422,,,,,,,,
15/11/2023 19:52:28.701541,,,,,,,,
15/11/2023 19:52:29.980418,,,0.016223207,-1.098521231,,,,
15/11/2023 19:52:29.983030,,,0.016145041,-1.099112575,,,,
15/11/2023 19:52:30.235538,,,,,,,,
15/11/2023 19:52:30.235929,,,,,,,,
15/11/2023 19:52:30.703941,,,0.016067011,-1.099703296,,,,
15/11/2023 19:52:30.707864,,,,,,,,
15/11/2023 19:52:30.723897,,,,,,,,
15/11/2023 19:52:30.749784,,,0.015949938,-1.100581708,,,,
15/11/2023 19:52:30.776010,,,0.015885196,-1.101060336,,,,
15/11/2023 19:52:30.802133,,,0.015851546,-1.101302935,,,,
15/11/2023 19:52:30.828110,,,0.015839786,-1.101386475,,,,
15/11/2023 19:52:30.854164,,,0.015803755,-1.101640354,,,,
15/11/2023 19:52:30.880053,,,0.015747687,-1.102024431,,,,
15/11/2023 19:52:30.905703,,,0.015729367,-1.102148226,,,,
15/11/2023 19:52:31.643093,,,0.006207422,-1.107819094,,,,
15/11/2023 19:52:31.645961,,,0.006209437,-1.107804986,,,,
15/11/2023 19:52:31.648685,,,0.006156719,-1.108165951,,,,
15/11/2023 19:52:31.651258,,,0.006117273,-1.108456574,,,,
15/11/2023 19:52:31.653863,,,0.006088624,-1.108687397,,,,
15/11/2023 19:52:31.693123,,,0.006078682,-1.108774071,,,,
15/11/2023 19:52:31.697727,,,0.00604753,-1.109045408,,,,
15/11/2023 19:52:31.700327,,,0.006009378,-1.109409703,,,,
15/11/2023 19:52:31.702906,,,0.006020019,-1.109335007,,,,
15/11/2023 19:52:31.768167,,,0.00601607,-1.109347082,,,,
15/11/2023 19:52:31.945233,,,,,,,,
15/11/2023 19:52:31.945640,,,,,,,,
15/11/2023 19:52:31.993264,,,0.005999007,-1.109557378,,,,
15/11/2023 19:52:33.100326,,,,,,,,
15/11/2023 19:52:33.102169,,,0.00832661,-1.107060664,,,,
15/11/2023 19:52:33.152906,,,0.008338072,-1.106950684,,,,
15/11/2023 19:52:33.155541,,,0.008352777,-1.106823746,,,,
15/11/2023 19:52:33.158102,,,0.008380685,-1.106589259,,,,
15/11/2023 19:52:33.160732,,,0.008403758,-1.106426133,,,,
15/11/2023 19:52:33.215187,76.9697,30.96,,,98.3,8.18737152,,
15/11/2023 19:52:33.216084,,,0.008430748,-1.106211516,,,,
