Datetime,kobuki_bat,powerbank_bat,position_x,position_y,throughput_upload,throughput_download,cpu_usage,ram_usage,completed_service_name,completed_service_duration
34:28.9,,,,,,,,,,
34:29.1,,,,,,,,,/IP_10_3_0_8/move_camera,2263
34:29.1,88.4848,64.3,,,,,95.7,8.18737152,,
34:29.1,,,,,7243.345703,,,,,
34:29.1,,,,,,14.51855469,,,,
34:29.4,,,0.074761047,-0.011158398,,,,,,
34:29.4,,,,,8094.71582,,,,,
34:29.4,,,,,,36.74023438,,,,
34:29.4,,,0.074761052,-0.011158395,,,,,,
34:29.4,,,0.074761057,-0.011158393,,,,,,
34:29.5,,,0.074761061,-0.011158391,,,,,,
34:29.5,,,0.074761072,-0.011158386,,,,,,
34:29.5,,,0.074761076,-0.011158384,,,,,,
34:29.5,,,0.074761077,-0.011158384,,,,,,
34:29.9,,,,,,,,,,
34:31.2,,,0.116020844,-0.007476097,,,,,,
34:31.2,,,0.124306585,-0.00588967,,,,,,
34:31.2,,,0.133460822,-0.00380908,,,,,,
34:31.2,,,0.1429574,-0.001346322,,,,,,
34:31.2,,,0.153535192,0.001787889,,,,,,
34:31.2,,,0.169133811,0.007018822,,,,,,
34:31.2,,,0.18080342,0.011550379,,,,,,
34:31.2,,,0.20538281,0.022843362,,,,,,
34:31.2,,,0.218194487,0.029344728,,,,,,
34:31.2,,,0.233477179,0.037700771,,,,,,
34:31.2,,,,,,,,,,
34:31.2,,,,,8147.785156,,,,,
34:31.2,,,,,,38.77929688,,,,
34:31.5,,,,,9589.299805,,,,,
34:31.5,,,,,,44.34375,,,,
34:31.9,,,,,,,,,,
34:32.9,,,,,,,,,,
34:33.2,,,0.633977336,0.559807743,,,,,,
34:33.2,,,0.650594473,0.579902543,,,,,,
34:33.2,,,0.675478817,0.610032063,,,,,,
34:33.2,,,0.698870884,0.638565741,,,,,,
34:33.2,,,0.706747423,0.648293305,,,,,,
34:33.2,,,0.721587017,0.666802385,,,,,,
34:33.2,,,0.735393314,0.684397968,,,,,,
34:33.2,,,,,7338.058594,,,,,
34:33.2,,,,,,38.79003906,,,,
34:33.3,,,0.748186538,0.701262038,,,,,,
34:33.3,,,0.760382476,0.718025938,,,,,,
34:33.3,,,0.772023146,0.73487594,,,,,,
34:33.4,88.4848,63.81,,,,,96.7,8.18737152,,
34:33.4,88.4848,63.81,,,,,100,8.18737152,,
34:33.4,,,,,8687.612305,,,,,
34:33.4,,,,,,24.97070313,,,,
34:33.9,,,,,,,,,,
34:34.9,,,,,,,,,,
